шлункова фаза соковиділення забезпечується не лише за рахунок нервової системи .	шлунковий фаза соковиділення забезпечуватися не лише за рахунок нервовий система .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V NEG;PART PART ACC;ADP ACC;INAN;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
пацани з усіх вєнтєлів — з центру , желєзкі , цегольні , канта , майзлів , гірки , софіївки , бельведеру , німецької колонії , старого і нового городків , баму — приходили вечорами їздити на крижані ковзанки на валах .	пацан з увесь вєнтєль — з центр , желєзкі , цегольня , кант , майзлі , гірка , софіївка , бельведер , німецький колонія , старий і новий городок , бам — приходити вечір їздити на крижаний ковзанка на вал .	ANIM;MASC;N;NOM;PL ADP;GEN DET;GEN;PL GEN;INAN;MASC;N;PL _ ADP;GEN GEN;INAN;MASC;PROPN;SG _ _ _ FEM;GEN;INAN;PROPN;SG _ GEN;INAN;MASC;PROPN;SG _ GEN;INAN;PROPN _ FEM;GEN;INAN;PROPN;SG _ FEM;GEN;INAN;PROPN;SG _ GEN;INAN;MASC;N;SG _ ADJ;FEM;GEN;SG FEM;GEN;INAN;PROPN;SG _ ADJ;GEN;MASC;SG CONJ ADJ;GEN;MASC;SG GEN;INAN;MASC;PL;PROPN _ GEN;INAN;MASC;PROPN;SG _ FIN;IND;IPFV;PL;PST;V INAN;INS;MASC;N;PL IPFV;NFIN;V ACC;ADP ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL ADP;ESS ESS;INAN;MASC;N;PL _
ото вона пішла та й жене .	ото вона піти та й гнати .	PART 3;FEM;NOM;PRO;SG FEM;FIN;IND;PFV;PST;SG;V CONJ PART 3;FIN;IND;IPFV;PRS;SG;V _
наприклад , для визначення точних координат завдяки gps .	наприклад , для визначення точний координата завдяки gps .	ADV _ ADP;GEN GEN;INAN;N;NEUT;SG ADJ;GEN;PL FEM;GEN;INAN;N;PL ADP;DAT _ _
сю ніч снилася мені моя сосна .	сей ніч снитися я мій сосна .	ACC;DET;FEM;SG ACC;FEM;INAN;N;SG FEM;FIN;IND;IPFV;PST;SG;V 1;ANIM;DAT;PRO;SG 1;DET;FEM;NOM;SG FEM;INAN;N;NOM;SG _
лі куан ю вирішив спрямувати брк на великих хабарників у вищих ешелонах влади : « з дрібною сошкою ми мали намір боротися шляхом спрощення процедур прийняття рішень і видалення будь-якої двозначності в законах шляхом видання ясних і простих правил , аж до скасування дозволів і ліцензування в менш важливих сферах суспільного життя .	лі куан ю вирішити спрямувати брк на великий хабарник у вищий ешелон влада : « з дрібний сошка ми мати намір боротися шляхом спрощення процедура прийняття рішення і видалення який двозначність в закон шляхом видання ясний і простий правило , аж до скасування дозвіл і ліцензування в менш важливий сфера суспільний життя .	ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V NFIN;PFV;V ACC;FEM;INAN;PROPN;SG ACC;ADP ACC;ADJ;ANIM;PL ACC;ANIM;MASC;N;PL ADP;ESS ADJ;CMPR;ESS;PL ESS;INAN;MASC;N;PL FEM;GEN;INAN;N;SG _ _ ADP;INS ADJ;FEM;INS;SG FEM;INAN;INS;N;SG 1;ANIM;NOM;PL;PRO FIN;IND;IPFV;PL;PST;V ACC;INAN;MASC;N;SG IPFV;NFIN;V ADP;GEN GEN;INAN;N;NEUT;SG FEM;GEN;INAN;N;PL GEN;INAN;N;NEUT;SG GEN;INAN;N;NEUT;PL CONJ GEN;INAN;N;NEUT;SG DET;FEM;GEN;SG FEM;GEN;INAN;N;SG ADP;ESS ESS;INAN;MASC;N;PL ADP;GEN GEN;INAN;N;NEUT;SG ADJ;GEN;PL CONJ ADJ;GEN;PL GEN;INAN;N;NEUT;PL _ PART ADP;GEN GEN;INAN;N;NEUT;SG GEN;INAN;MASC;N;PL CONJ GEN;INAN;N;NEUT;SG ADP;ESS ADV;CMPR ADJ;ESS;PL ESS;FEM;INAN;N;PL ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG _
потім звеліла запрягти карету і поїхала до свого батька .	потім звеліти запрягти карета і поїхати до свій батько .	ADV FEM;FIN;IND;PFV;PST;SG;V NFIN;PFV;V ACC;FEM;INAN;N;SG CONJ FEM;FIN;IND;PFV;PST;SG;V ADP;GEN DET;GEN;MASC;REFL;SG ANIM;GEN;MASC;N;SG _
“ спеціальне ” й “ особливе ” – легкі сорти світлого .	“ спеціальний ” й “ особливий ” – легкий сорт світлий .	_ ADJ;NEUT;NOM;SG _ CONJ _ ADJ;NEUT;NOM;SG _ _ ADJ;NOM;PL INAN;MASC;N;NOM;PL ADJ;GEN;NEUT;SG _
дякую за роботу .	дякувати за робота .	1;FIN;IND;IPFV;PRS;SG;V ACC;ADP ACC;FEM;INAN;N;SG _
лише рябок , засвистівши , пролетів з однієї височенної кедри на іншу і завмер на гілці , мов сучок , нерухомо , опустивши чубату голівку вниз і витягши шию .	лише рябок , засвистіти , пролетіти з один височенний кедра на інший і завмерти на гілка , мов сучок , нерухомо , опустити чубатий голівка вниз і витягти шия .	PART ANIM;MASC;N;NOM;SG _ PFV;PST;V;V.CVB _ FIN;IND;MASC;PFV;PST;SG;V ADP;GEN DET;FEM;GEN;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ACC;ADP ACC;DET;FEM;SG CONJ FIN;IND;MASC;PFV;PST;SG;V ADP;ESS ESS;FEM;INAN;N;SG _ CONJ INAN;MASC;N;NOM;SG _ ADV _ PFV;PST;V;V.CVB ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG ADV CONJ PFV;PST;V;V.CVB ACC;FEM;INAN;N;SG _
з днем народження , іванко !	з день народження , іванка !	ADP;INS INAN;INS;MASC;N;SG GEN;INAN;N;NEUT;SG _ ANIM;FEM;PROPN;SG;VOC _
зубами цокотить .	зуб цокотіти .	INAN;INS;MASC;N;PL 3;FIN;IND;IPFV;PRS;SG;V _
цих традицій стараємося дотримуватися і сьогодні .	цей традиція старатися дотримуватися і сьогодні .	DET;GEN;PL FEM;GEN;INAN;N;PL 1;FIN;IND;IPFV;PL;PRS;V IPFV;NFIN;V PART ADV _
кидайте все і ходімо в ліс .	кидати все і ходити в ліс .	2;FIN;IMP;IPFV;PL;V ACC;INAN;NEUT;PRO;SG CONJ 1;FIN;IMP;IPFV;PL;V ACC;ADP ACC;INAN;MASC;N;SG _
сесія " вгадай мелодію " .	сесія " вгадати мелодія " .	FEM;INAN;N;NOM;SG _ 2;FIN;IMP;PFV;SG;V ACC;FEM;INAN;N;SG _ _
а тепер розказуйте ...	а тепер розказувати …	CONJ ADV 2;FIN;IMP;IPFV;PL;V _
що люди сказали б , якби побачили в селі , яку відьму він привів до хижі .	що людина сказати б , якби побачити в село , який відьма він привести до хижа .	ACC;INAN;NEUT;PRO;SG ANIM;FEM;N;NOM;PL FIN;IND;PFV;PL;PST;V COND;V _ CONJ FIN;IND;PFV;PL;PST;V ADP;ESS ESS;INAN;N;NEUT;SG _ ACC;DET;FEM;SG ACC;ANIM;FEM;N;SG 3;MASC;NOM;PRO;SG FIN;IND;MASC;PFV;PST;SG;V ADP;GEN FEM;GEN;INAN;N;SG _
коли буде другий ілюстрований поттер в ашані ??	коли бути другий ілюстрований поттер в ашан ??	ADV 3;FIN;FUT;IND;IPFV;SG;V ADJ;MASC;NOM;SG ADJ;MASC;NOM;PASS;PFV;SG;V.PTCP ANIM;MASC;NOM;PROPN;SG ADP;ESS ESS;INAN;MASC;PROPN;SG _
епітеліальна тканина , або епітелій , складається з клітин , що щільно прилягають одна до одної .	епітеліальний тканина , або епітелій , складатися з клітина , що щільно прилягати один до один .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _ CONJ INAN;MASC;N;NOM;SG _ 3;FIN;IND;IPFV;PRS;SG;V ADP;GEN FEM;GEN;INAN;N;PL _ CONJ ADV 3;FIN;IND;IPFV;PL;PRS;V DET;FEM;NOM;SG ADP;GEN DET;FEM;GEN;SG _
не допустимо , щоб нас викпивали через твою жінку .	не допустити , щоб ми викпивати через твій жінка .	NEG;PART 1;FIN;FUT;IND;PFV;PL;V _ CONJ 1;ACC;ANIM;PL;PRO FIN;IND;IPFV;PL;PST;V ACC;ADP 2;ACC;DET;FEM;SG ACC;ANIM;FEM;N;SG _
коли на нас нападатимуть , тоді боронитися , маневрувати , прориватися , чи відв'язуватися й зникати .	коли на ми нападати , тоді боронитися , маневрувати , прориватися , чи відв’язуватися й зникати .	ADV ACC;ADP 1;ACC;ANIM;PL;PRO 3;FIN;FUT;IND;IPFV;PL;V _ ADV IPFV;NFIN;V _ IPFV;NFIN;V _ IPFV;NFIN;V _ CONJ IPFV;NFIN;V CONJ IPFV;NFIN;V _
на підлогу пляжної кабінки хтось вилив не менше відра води , поклав мішок і жмут жіночого волосся .	на підлога пляжний кабінка хтось вилити не менше відро вода , покласти мішок і жмут жіночий волосся .	ACC;ADP ACC;FEM;INAN;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ANIM;NOM;PRO FIN;IND;MASC;PFV;PST;SG;V NEG;PART ADV;CMPR GEN;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG _ FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;MASC;N;SG CONJ ACC;INAN;MASC;N;SG ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG _
поява кріппса в уряді черчіля — це дальший крок до большевизації англії .	поява кріппс в уряд черчіль — це дальший крок до большевизація англія .	FEM;INAN;N;NOM;SG ANIM;GEN;MASC;PROPN;SG ADP;ESS ESS;INAN;MASC;N;SG ANIM;GEN;MASC;PROPN;SG _ INAN;NEUT;NOM;PRO;SG ADJ;CMPR;MASC;NOM;SG INAN;MASC;N;NOM;SG ADP;GEN FEM;GEN;INAN;N;SG FEM;GEN;INAN;PROPN;SG _
і от одній дівці вдається вирватися зі скляної клітки , наробити нагорі сандвічів і принести " колегам " у печеру .	і от один дівка вдаватися вирватися зі скляний клітка , наробити нагорі сандвіч і принести " колега " у печера .	CONJ PART DAT;DET;FEM;SG ANIM;DAT;FEM;N;SG 3;FIN;IND;IPFV;PRS;SG;V NFIN;PFV;V ADP;GEN ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ NFIN;PFV;V ADV GEN;INAN;MASC;N;PL CONJ NFIN;PFV;V _ ANIM;DAT;MASC;N;PL _ ACC;ADP ACC;FEM;INAN;N;SG _
гнат не питає , куди вона йде .	гнат не питати , куди вона йти .	ANIM;MASC;NOM;PROPN;SG NEG;PART 3;FIN;IND;IPFV;PRS;SG;V _ ADV 3;FEM;NOM;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V _
— пусти мене , ніколи не буду більше тобі шкодити .	— пустити я , ніколи не бути більше ти шкодити .	_ 2;FIN;IMP;PFV;SG;V 1;ACC;ANIM;PRO;SG _ ADV NEG;PART 1;FIN;FUT;IND;IPFV;SG;V ADV;CMPR 2;ANIM;DAT;PRO;SG IPFV;NFIN;V _
очі його повні алкоголю , що перебрали міру й спинилися на напруженому півбожевільному настроєві .	око його повний алкоголь , що перебрати міра й спинитися на напружений півбожевільний настрій .	INAN;N;NEUT;NOM;PL 3;DET;NOM;PL ADJ;NOM;PL GEN;INAN;MASC;N;SG _ CONJ FIN;IND;PFV;PL;PST;V ACC;FEM;INAN;N;SG CONJ FIN;IND;PFV;PL;PST;V ADP;ESS ADJ;ESS;MASC;PASS;PFV;SG;V.PTCP ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG _
ісус ловив рибу .	ісус ловити риба .	ANIM;MASC;NOM;PROPN;SG FIN;IND;IPFV;MASC;PST;SG;V ACC;ANIM;FEM;N;SG _
на mi-carême ( середина посту ) санремосці сподівались знов карнавальних розривок , але їх перенесли в бордігеру ( се маленьке місто коло сан-ремо , тепер воно вже так як передмістя , бо злилось віллами і садами з сан-ремо ) .	на mi-carême ( середина піст ) санремосець сподіватися знов карнавальний розривка , але вони перенести в бордігера ( се маленький місто коло сан-ремо , тепер воно вже так як передмістя , бо злитися вілла і сад з сан-ремо ) .	ADP;ESS _ _ FEM;INAN;N;NOM;SG GEN;INAN;MASC;N;SG _ ANIM;MASC;N;NOM;PL FIN;IND;IPFV;PL;PST;V ADV ADJ;GEN;PL FEM;GEN;INAN;N;PL _ CONJ 3;ACC;PL;PRO FIN;IND;PFV;PL;PST;V ACC;ADP ACC;FEM;INAN;PROPN;SG _ INAN;NEUT;NOM;PRO;SG ADJ;NEUT;NOM;SG INAN;N;NEUT;NOM;SG ADP;GEN GEN;INAN;NEUT;PROPN;SG _ ADV 3;NEUT;NOM;PRO;SG ADV ADV ADV INAN;N;NEUT;NOM;SG _ CONJ FIN;IND;NEUT;PFV;PST;SG;V FEM;INAN;INS;N;PL CONJ INAN;INS;MASC;N;PL ADP;INS INAN;INS;NEUT;PROPN;SG _ _
коли долар був по 8 гривень , стоїла ця техніка 4 , 5 тисячі гривень .	коли долар бути по 8 гривня , стоїти цей техніка 4 , 5 тисяча гривня .	ADV INAN;MASC;N;NOM;SG FIN;IND;IPFV;MASC;PST;SG;V ACC;ADP ACC;NUM FEM;GEN;INAN;N;PL _ FEM;FIN;IND;IPFV;PST;SG;V DET;FEM;NOM;SG FEM;INAN;N;NOM;SG ACC;NUM _ ACC;NUM FEM;GEN;INAN;N;SG FEM;GEN;INAN;N;PL _
замість діючої армії дзядзя призначили у штрафний будівельний батальйон і відправили на роботи у казахстан .	замість діючий армія дзядзьо призначити у штрафний будівельний батальйон і відправити на робота у казахстан .	ADP;GEN ACT;ADJ;FEM;GEN;IPFV;PRS;SG;V.PTCP FEM;GEN;INAN;N;SG ACC;ANIM;MASC;N;SG FIN;IND;PFV;PL;PST;V ACC;ADP ACC;ADJ;INAN;MASC;SG ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG CONJ FIN;IND;PFV;PL;PST;V ACC;ADP ACC;FEM;INAN;N;PL ACC;ADP ACC;INAN;MASC;PROPN;SG _
чи були там завжди ці веренви гнилих та трухлявих домів в стилі дев’ятнадцятого сторіччя , з їхніми боками підкріпленими дерев’яними балками , з їхніми вікнами забитими картоном та з їхніми дахами з гофрованого заліза , з їхніми божевільними та розхристаними палісадниками що провисають на всі боки ?	чи бути там завжди цей веренва гнилий та трухлявий дім в стиль дев’ятнадцятий сторіччя , з їхній бік підкріплений дерев’яний балка , з їхній вікно забитий картон та з їхній дах з гофрований залізо , з їхній божевільний та розхристаний палісадник що провисати на весь бік ?	PART FIN;IND;IPFV;PL;PST;V ADV ADV DET;NOM;PL FEM;INAN;N;NOM;PL ADJ;GEN;PL CONJ ADJ;GEN;PL GEN;INAN;MASC;N;PL ADP;ESS ESS;INAN;MASC;N;SG ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG _ ADP;INS 3;DET;INS;PL INAN;INS;MASC;N;PL ADJ;INS;PASS;PFV;PL;V.PTCP ADJ;INS;PL FEM;INAN;INS;N;PL _ ADP;INS 3;DET;INS;PL INAN;INS;N;NEUT;PL ADJ;INS;PASS;PFV;PL;V.PTCP INAN;INS;MASC;N;SG CONJ ADP;INS 3;DET;INS;PL INAN;INS;MASC;N;PL ADP;GEN ADJ;GEN;NEUT;PASS;PFV;SG;V.PTCP GEN;INAN;N;NEUT;SG _ ADP;INS 3;DET;INS;PL ADJ;INS;PL CONJ ADJ;INS;PASS;PFV;PL;V.PTCP INAN;INS;MASC;N;PL CONJ 3;FIN;IND;IPFV;PL;PRS;V ACC;ADP ACC;DET;INAN;PL ACC;INAN;MASC;N;PL _
в мене є питання кому ви такі потрібні ?	в я бути питання хто ви такий потрібний ?	ADP;GEN 1;ANIM;GEN;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V INAN;N;NEUT;NOM;SG ANIM;DAT;MASC;PRO;SG 2;ANIM;NOM;PL;PRO DET;NOM;PL ADJ;NOM;PL _
зокрема господині напекли короваїв .	зокрема господиня напекти коровай .	ADV ANIM;FEM;N;NOM;PL FIN;IND;PFV;PL;PST;V GEN;INAN;MASC;N;PL _
умовний рефлекс пускає корені і винищує найкоштовніші якості співжиття — почуття повної розрядки та радісної відпруги .	умовний рефлекс пускати корінь і винищувати найкоштовніший якість співжиття — почуття повний розрядка та радісний відпруга .	ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;N;PL CONJ 3;FIN;IND;IPFV;PRS;SG;V ACC;ADJ;INAN;PL;RL ACC;FEM;INAN;N;PL GEN;INAN;N;NEUT;SG _ ACC;INAN;N;NEUT;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG CONJ ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
