занимает площадь 352,658 км2 .	занимать площадь 352,658 км2 .	3;FIN;IND;IPFV;PRS;SG;V ACC;FEM;INAN;N;SG NOM;NUM GEN;INAN;MASC;N;PL _
aeromot ( ) -- бразильская авиаремонтная компания , авиапроизводитель .	aeromot ( ) -- бразильский авиаремонтный компания , авиапроизводитель .	INAN;MASC;NOM;PROPN;SG _ _ _ ADJ;FEM;INAN;NOM;SG ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG _ ANIM;MASC;N;NOM;SG _
питание снеговое и дождевое .	питание снеговой и дождевой .	INAN;N;NEUT;NOM;SG ADJ;INAN;NEUT;NOM;SG CONJ ADJ;INAN;NEUT;NOM;SG _
абдурахманов внес значительный вклад в формирование и развитие азербайджанской монументальной и станковой пластики .	абдурахманов внести значительный вклад в формирование и развитие азербайджанский монументальный и станковый пластика .	ANIM;MASC;NOM;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG ADP ACC;INAN;N;NEUT;SG CONJ ACC;INAN;N;NEUT;SG ADJ;FEM;GEN;INAN;SG ADJ;FEM;GEN;INAN;SG CONJ ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG _
но желание заложника защитить своего захватчика или вообще `` объединиться с ним &#39;&#39; в общем было известно задолго до стокгольмских событий , давших название `` синдрому заложника &#39;&#39; .	но желание заложник защитить свой захватчик или вообще `` объединиться с он &#39;&#39; в общее быть известный задолго до стокгольмский событие , дать название `` синдром заложник &#39;&#39; .	CONJ INAN;N;NEUT;NOM;SG ANIM;GEN;MASC;N;SG NFIN;PFV;V ACC;ANIM;DET;MASC;REFL;SG ACC;ANIM;MASC;N;SG CONJ ADV _ MID;NFIN;PFV;V ADP 3;INS;MASC;PRO;SG _ ADP ESS;INAN;N;NEUT;SG FIN;IND;IPFV;NEUT;PST;SG;V ADJ;INAN;NEUT;NOM;SG ADV ADP ADJ;GEN;INAN;PL GEN;INAN;N;NEUT;PL _ ACT;GEN;INAN;PFV;PL;PST;V;V.PTCP ACC;INAN;N;NEUT;SG _ DAT;INAN;MASC;N;SG ANIM;GEN;MASC;N;SG _ _
данная форма названия принята в 1994 году .	данный форма название принять в 1994 год .	ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG FEM;INAN;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG _
в период начальной исламизации ирана при умайядах и ранних аббасидах , персидский язык вскоре стал литературным языком всей территории центральной азии .	в период начальный исламизация иран при умайяд и ранний аббасид , персидский язык вскоре стать литературный язык весь территория центральный азия .	ADP ACC;INAN;MASC;N;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG GEN;INAN;MASC;PROPN;SG ADP ANIM;ESS;MASC;PL;PROPN CONJ ADJ;ANIM;ESS;PL ANIM;ESS;MASC;PL;PROPN _ ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG ADV FIN;IND;MASC;PFV;PST;SG;V ADJ;INAN;INS;MASC;SG INAN;INS;MASC;N;SG DET;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;PROPN;SG _
поскольку ибн турк был современником ал - хорезми , и поскольку трактаты обоих авторов имеют сходную организацию и даже совпадают в ряде примеров , саили делает вывод , что ни ал - хорезми , ни ибн турк не были основателями алгебры , а представляли тот этап этой науки , когда она в основных чертах уже была сформирована .	поскольку ибн турк быть современник ал - хорезми , и поскольку трактат оба автор иметь сходный организация и даже совпадать в ряд пример , саили делать вывод , что ни ал - хорезми , ни ибн турк не быть основатель алгебра , а представлять тот этап этот наука , когда она в основной черта уже быть сформировать .	CONJ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG FIN;IND;IPFV;MASC;PST;SG;V ANIM;INS;MASC;N;SG ADV _ ANIM;GEN;MASC;PROPN;SG _ CONJ CONJ INAN;MASC;N;NOM;PL ANIM;GEN;MASC;NUM ANIM;GEN;MASC;N;PL 3;FIN;IND;IPFV;PL;PRS;V ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;N;SG CONJ PART 3;FIN;IND;IPFV;PL;PRS;V ADP ESS;INAN;MASC;N;SG GEN;INAN;MASC;N;PL _ ANIM;MASC;NOM;PROPN;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;N;SG _ CONJ CONJ ADV _ ANIM;MASC;NOM;PROPN;SG _ CONJ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG NEG;PART FIN;IND;IPFV;PL;PST;V ANIM;INS;MASC;N;PL FEM;GEN;INAN;N;SG _ CONJ FIN;IND;IPFV;PL;PST;V ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG DET;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG _ ADV 3;FEM;NOM;PRO;SG ADP ADJ;ESS;INAN;PL ESS;FEM;INAN;N;PL ADV FEM;FIN;IND;IPFV;PST;SG;V FEM;INAN;NOM;PASS;PFV;PST;SG;V;V.PTCP _
первым виртуальным собеседником была программа элиза , разработанная в 1966 году .	первый виртуальный собеседник быть программа элиза , разработать в 1966 год .	ADJ;ANIM;INS;MASC;SG ADJ;ANIM;INS;MASC;SG ANIM;INS;MASC;N;SG FEM;FIN;IND;IPFV;PST;SG;V FEM;INAN;N;NOM;SG ANIM;FEM;NOM;PROPN;SG _ FEM;INAN;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG _
газанфер бильге ( , 1924 -- 2008 ) -- турецкий борец , чемпион европы и олимпийский чемпион .	газанфер бильге ( , 1924 -- 2008 ) -- турецкий борец , чемпион европа и олимпийский чемпион .	ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _ _ ADJ;INAN;MASC;NOM;SG _ ADJ;INAN;MASC;NOM;SG _ _ ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG _ ANIM;MASC;N;NOM;SG FEM;GEN;INAN;PROPN;SG CONJ ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG _
на 26 декабря была запланирована ответная антифашистская акция под названием `` москва для всех &#39;&#39; .	на 26 декабрь быть запланировать ответный антифашистский акция под название `` москва для все &#39;&#39; .	ADP ACC;ADJ;INAN;NEUT;SG GEN;INAN;MASC;N;SG FEM;FIN;IND;IPFV;PST;SG;V FEM;INAN;NOM;PASS;PFV;PST;SG;V;V.PTCP ADJ;FEM;INAN;NOM;SG ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG ADP INAN;INS;N;NEUT;SG _ FEM;INAN;NOM;PROPN;SG ADP ANIM;GEN;PL;PRO _ _
им обеим ясно , что лучшие дни их жизни остались в прошлом , и что , прохаживаясь вот так вдвоём , они производят комичное впечатление .	они оба ясный , что лучший день их жизнь остаться в прошлое , и что , прохаживаться вот так вдвоем , они производить комичный впечатление .	3;DAT;PL;PRO ANIM;DAT;FEM;NUM ADJ;NEUT;SG _ CONJ ADJ;INAN;NOM;PL;RL INAN;MASC;N;NOM;PL 3;DET FEM;GEN;INAN;N;SG FIN;IND;MID;PFV;PL;PST;V ADP ESS;INAN;N;NEUT;SG _ CONJ CONJ _ IPFV;V;V.CVB PART ADV ADV _ 3;NOM;PL;PRO 3;FIN;IND;IPFV;PL;PRS;V ACC;ADJ;INAN;NEUT;SG ACC;INAN;N;NEUT;SG _
герб был введён в 1330 году , через 7 лет после основания города .	герб быть ввести в 1330 год , через 7 год после основание город .	INAN;MASC;N;NOM;SG FIN;IND;IPFV;MASC;PST;SG;V INAN;MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG _ ADP ACC;NUM GEN;INAN;MASC;N;PL ADP GEN;INAN;N;NEUT;SG GEN;INAN;MASC;N;SG _
всего за время войны совершил 248 боевых вылетов ( 13 -- на бомбардировщике су - 2 и 235 -- на бомбардировщике в - 25с ) .	всего за время война совершить 248 боевой вылет ( 13 -- на бомбардировщик су - 2 и 235 -- на бомбардировщик в - 25с ) .	ADV ADP ACC;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG FIN;IND;MASC;PFV;PST;SG;V ACC;NUM ADJ;GEN;INAN;PL GEN;INAN;MASC;N;PL _ ACC;NUM _ ADP ESS;INAN;MASC;N;SG ESS;INAN;MASC;PROPN;SG _ ADV CONJ ACC;NUM _ ADP ESS;INAN;MASC;N;SG INAN;MASC;N;NOM;SG _ ADV _ _
питание смешанное , с преобладанием снегового .	питание смешанный , с преобладание снеговой .	INAN;N;NEUT;NOM;SG ADJ;INAN;NEUT;NOM;SG _ ADP INAN;INS;N;NEUT;SG ADJ;GEN;INAN;NEUT;SG _
преемственность выводится как умозаключения авторов , в рамках средневековой традиции вольно развивающих доступные им источники .	преемственность выводиться как умозаключение автор , в рамка средневековый традиция вольно развивать доступный они источник .	FEM;INAN;N;NOM;SG 3;FIN;IND;IPFV;MID;PRS;SG;V ADP INAN;N;NEUT;NOM;PL ANIM;GEN;MASC;N;PL _ ADP ESS;FEM;INAN;N;PL ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG ADV ACT;ANIM;GEN;IPFV;PL;PRS;V;V.PTCP ACC;ADJ;INAN;PL 3;DAT;PL;PRO ACC;INAN;MASC;N;PL _
немецкая сторона заявила об уничтожении 70 танков и 40 противотанковых пушек ценой потери пяти `` тигров &#39;&#39; и четырёх `` пантер &#39;&#39; .	немецкий сторона заявить об уничтожение 70 танк и 40 противотанковый пушка цена потеря пять `` тигр &#39;&#39; и четыре `` пантера &#39;&#39; .	ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG FEM;FIN;IND;PFV;PST;SG;V ADP ESS;INAN;N;NEUT;SG GEN;NUM GEN;INAN;MASC;N;PL CONJ GEN;NUM ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL FEM;INAN;INS;N;SG FEM;GEN;INAN;N;SG GEN;NUM _ ANIM;GEN;MASC;N;PL _ CONJ ANIM;GEN;NUM _ ANIM;FEM;GEN;N;PL _ _
львовский советник иоганн альнпек писал о тогдашнем львове : `` этот город в достаточном количестве поставляет целому польском королевству разные шёлковые ткани , ковры и пахучее коренья .	львовский советник иоганн альнпек писать о тогдашний львов : `` этот город в достаточный количество поставлять целый польский королевство разный шелковый ткань , ковер и пахучий коренья .	ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG FIN;IND;IPFV;MASC;PST;SG;V ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;PROPN;SG _ _ DET;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG ADP ADJ;ESS;INAN;NEUT;SG ESS;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V ADJ;DAT;INAN;NEUT;SG ADJ;DAT;INAN;NEUT;SG DAT;INAN;N;NEUT;SG ACC;ADJ;INAN;PL ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _ ACC;INAN;MASC;N;PL CONJ ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL _
он является первым китайским легкоатлетом , выигравшим олимпийские игры и первым , одновременно выигравшим чемпионат мира и установившим мировой рекорд ( ) .	он являться первый китайский легкоатлет , выиграть олимпийский игра и первый , одновременно выиграть чемпионат мир и установить мировой рекорд ( ) .	3;MASC;NOM;PRO;SG 3;FIN;IND;IPFV;MID;PRS;SG;V ADJ;ANIM;INS;MASC;SG ADJ;ANIM;INS;MASC;SG ANIM;INS;MASC;N;SG _ ACT;ANIM;INS;MASC;PFV;PST;SG;V;V.PTCP ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL CONJ ADJ;ANIM;INS;MASC;SG _ ADV ACT;ANIM;INS;MASC;PFV;PST;SG;V;V.PTCP ACC;INAN;MASC;N;SG GEN;INAN;MASC;N;SG CONJ ACT;ANIM;INS;MASC;PFV;PST;SG;V;V.PTCP ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _ _ _
на футбольном поле отличался бесстрашием , считался жёстким защитником .	на футбольный поле отличаться бесстрашие , считаться жесткий защитник .	ADP ADJ;ESS;INAN;NEUT;SG ESS;INAN;N;NEUT;SG FIN;IND;IPFV;MASC;MID;PST;SG;V INAN;INS;N;NEUT;SG _ FIN;IND;IPFV;MASC;MID;PST;SG;V ADJ;ANIM;INS;MASC;SG ANIM;INS;MASC;N;SG _
посетители получают карту , на которых отмечены некоторые из наиболее живописных мест .	посетитель получать карта , на который отметить некоторый из наиболее живописный место .	ANIM;MASC;N;NOM;PL 3;FIN;IND;IPFV;PL;PRS;V ACC;FEM;INAN;N;SG _ ADP ESS;INAN;PL;PRO INAN;NOM;PASS;PFV;PL;PST;V;V.PTCP DET;INAN;NOM;PL ADP ADV;RL ADJ;GEN;INAN;PL GEN;INAN;N;NEUT;PL _
пилот может иметь до 4 разных мау ( ключа ) и довольно оперативно менять их при необходимости .	пилот мочь иметь до 4 разный мау ( ключ ) и довольно оперативно менять они при необходимость .	ANIM;MASC;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V IPFV;NFIN;V ADP GEN;INAN;NUM ADJ;GEN;INAN;PL GEN;INAN;MASC;PROPN;SG _ GEN;INAN;MASC;N;SG _ CONJ ADV ADV IPFV;NFIN;V 3;ACC;PL;PRO ADP ESS;FEM;INAN;N;SG _
джем замечает крадущихся сотрудников специального отряда полиции и открывает по ним огонь .	джем замечать красться сотрудник специальный отряд полиция и открывать по они огонь .	ANIM;MASC;NOM;PROPN;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;ACT;ANIM;IPFV;PL;PRS;V;V.PTCP ACC;ANIM;MASC;N;PL ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG FEM;GEN;INAN;N;SG CONJ 3;FIN;IND;IPFV;PRS;SG;V ADP 3;DAT;PL;PRO ACC;INAN;MASC;N;SG _
участвовал в боях под сталинградом и освобождении украинской сср .	участвовать в бой под сталинград и освобождение украинский сср .	FIN;IND;IPFV;MASC;PST;SG;V ADP ESS;INAN;MASC;N;PL ADP INAN;INS;MASC;PROPN;SG CONJ ESS;INAN;N;NEUT;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;PROPN;SG _
в июле на vi съезде рсдрп ( б ) состоялось объединение `` межрайонцев &#39;&#39; с большевиками ; сам троцкий , в то время находившийся в `` крестах &#39;&#39; , что не позволило ему выступить на съезде с основным докладом -- `` о текущем моменте &#39;&#39; , -- был избран в состав цк .	в июль на vi съезд рсдрп ( б ) состояться объединение `` межрайонец &#39;&#39; с большевик ; сам троцкий , в тот время находиться в `` кресты &#39;&#39; , что не позволить он выступить на съезд с основной доклад -- `` о текущий момент &#39;&#39; , -- быть избрать в состав цк .	ADP ESS;INAN;MASC;N;SG ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG FEM;GEN;INAN;PROPN;SG _ ANIM;GEN;MASC;N;PL _ FIN;IND;MID;NEUT;PFV;PST;SG;V INAN;N;NEUT;NOM;SG _ ANIM;GEN;MASC;N;PL _ ADP ANIM;INS;MASC;N;PL _ ADJ;ANIM;MASC;NOM;SG ANIM;MASC;NOM;PROPN;SG _ ADP ACC;DET;INAN;NEUT;SG ACC;INAN;N;NEUT;SG ACT;ANIM;IPFV;MASC;NOM;PST;SG;V;V.PTCP ADP _ ESS;INAN;MASC;N;PL _ _ INAN;NEUT;NOM;PRO;SG NEG;PART FIN;IND;NEUT;PFV;PST;SG;V 3;DAT;MASC;PRO;SG NFIN;PFV;V ADP ESS;INAN;MASC;N;SG ADP ADJ;INAN;INS;MASC;SG INAN;INS;MASC;N;SG _ _ ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG _ _ _ FIN;IND;IPFV;MASC;PST;SG;V ANIM;MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ACC;INAN;MASC;N;SG GEN;INAN;MASC;PROPN;SG _
клуб был основан в 1871 году лучшими игроками расформированного в 1870 `` цинциннати ред стокингс &#39;&#39; ( en ) .	клуб быть основать в 1871 год лучший игрок расформировать в 1870 `` цинциннати ред стокингс &#39;&#39; ( en ) .	INAN;MASC;N;NOM;SG FIN;IND;IPFV;MASC;PST;SG;V INAN;MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG ADJ;ANIM;INS;PL;RL ANIM;INS;MASC;N;PL GEN;INAN;MASC;PASS;PFV;PST;SG;V;V.PTCP ADP ADJ;ESS;INAN;MASC;SG _ GEN;INAN;MASC;PROPN;SG ADJ;GEN;INAN;PL GEN;INAN;MASC;N;PL _ _ INAN;MASC;N;NOM;SG _ _
