brug den i tynde flager som gratinering af en ovnret eller i tern i salatskålen .	bruge den i tynd flage som gratinering af en ovnret eller i tern i salatskål .	IMP;V 3;ACC;MASC+FEM;PRO;SG ADP ADJ;PL INDF;MASC+FEM;N;PL ADP INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ ADP INDF;N;PL ADP DEF;MASC+FEM;N;SG _
begge domme er anket til landsretten af henholdsvis den danske forening og af direktør jens sejersen , der var sagsøgt i begge sager .	begge dom være anke til landsret af henholdsvis den dansk forening og af direktør jens sejersen , der være sagsøge i begge sag .	DET;PL INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADP DEF;MASC+FEM;N;SG ADP ADV DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG CONJ ADP INDF;MASC+FEM;N;SG PROPN PROPN _ PRO ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP ADP DET;PL INDF;MASC+FEM;N;PL _
som svar blev hun overfaldet af soldaten , der slog ham i ansigtet med en geværkolbe .	som svar blive hun overfalde af soldat , der slå han i ansigt med en geværkolbe .	ADP INDF;N;NEUT;SG ACT;FIN;IND;PST;V 3;MASC+FEM;NOM;PRO;SG INDF;PST;SG;V;V.PTCP ADP DEF;MASC+FEM;N;SG _ PRO ACT;FIN;IND;PST;V 3;ACC;MASC+FEM;PRO;SG ADP DEF;N;NEUT;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _
pris : 219.996 kr. .	pris : 219.996 krone .	INDF;MASC+FEM;N;SG _ NUM INDF;MASC+FEM;N;PL _
men tanken om mad og vin tvang kvalmen op i hendes mund , som en advarsel .	men tanke om mad og vin tvinge kvalme op i hendes mund , som en advarsel .	CONJ DEF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG CONJ INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V DEF;MASC+FEM;N;SG ADV ADP 3;DET;PSSS INDF;MASC+FEM;N;SG _ ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _
selve beklædningen er knap så vigtigt blot skal tøjet være rummeligt og ikke stramme , hvorved man risikerer gnavsår på udsatte steder og det er jo ikke så behageligt .	selve beklædning være knap så vigtig blot skulle tøj være rummelig og ikke stramme , hvorved man risikere gnavsår på udsat sted og det være jo ikke så behagelig .	ADJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV ADV ADJ;INDF;NEUT;SG ADV ACT;FIN;IND;PRS;V DEF;N;NEUT;SG ACT;NFIN;V ADJ;INDF;NEUT;SG CONJ ADV ACT;NFIN;V _ ADV MASC+FEM;NOM;PRO ACT;FIN;IND;PRS;V INDF;N;NEUT;PL ADP ADJ;PL INDF;N;NEUT;PL CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADV ADV ADV ADJ;INDF;NEUT;SG _
det amerikanske firma lubrizol eksperimenterer med solsikkefrø , der med et højt indhold af olie kan bruges til fremstilling af plastic og nylon .	den amerikansk firma lubrizol eksperimentere med solsikkefrø , der med en høj indhold af olie kunne bruge til fremstilling af plastic og nylon .	DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG PROPN ACT;FIN;IND;PRS;V ADP INDF;N;NEUT;PL _ PRO ADP DET;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADP INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V NFIN;PASS;V ADP INDF;MASC+FEM;N;SG ADP INDF;N;SG CONJ INDF;N;NEUT;SG _
selve gravgruben var ret stor i omfang , men af ringe dybde , kun ca 40 cm nedsænket i undergrunden .	selve gravgrube være ret stor i omfang , men af ringe dybde , kun cirka 40 centimeter nedsænke i undergrund .	ADJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PST;V ADV ADJ;INDF;MASC+FEM;SG ADP INDF;N;NEUT;SG _ CONJ ADP ADJ INDF;MASC+FEM;N;SG _ ADV ADV NUM INDF;MASC+FEM;N;PL INDF;PST;SG;V;V.PTCP ADP DEF;MASC+FEM;N;SG _
du er da min pige .	du være da min pige .	2;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV 1;DET;MASC+FEM;PSSS;SG INDF;MASC+FEM;N;SG _
mens borgerkrigen raser , og politikerne forhandler , sidder anders dahl rasmussen fortsat i sin celle i fængslet scremska mitrovica ca. 65 km vest for beograd .	mens borgerkrig rase , og politiker forhandle , sidde anders dahl rasmussen fortsat i sin celle i fængsel scremska mitrovica cirka 65 kilometer vest for beograd .	CONJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V _ CONJ DEF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V _ ACT;FIN;IND;PRS;V PROPN PROPN PROPN ADV ADP 3;DET;MASC+FEM;PSSS;REFL;SG INDF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG PROPN PROPN ADV NUM INDF;MASC+FEM;N;PL ADV ADP PROPN _
ligesom ved alle andre former for takt & tone gives der i det politisk korrekte sprogbrug udtryk for en bestemt verdensopfattelse , og pc-sproget bliver bevidst brugt som en spydspids til at ændre opfattelsen af den eksisterende verdensorden .	ligesom ved al anden form for takt & tone give der i den politisk korrekt sprogbrug udtryk for en bestemt verdensopfattelse , og pc-sprog blive bevidst bruge som en spydspids til at ændre opfattelse af den eksisterende verdensorden .	CONJ ADP ADJ;PL DET;PL INDF;MASC+FEM;N;PL ADP INDF;MASC+FEM;N;SG CONJ INDF;MASC+FEM;N;SG FIN;IND;PASS;PRS;V ADV ADP DET;NEUT;SG ADV ADJ;DEF;SG INDF;N;NEUT;SG INDF;N;NEUT;SG ADP DET;MASC+FEM;SG ADJ;INDF;SG INDF;MASC+FEM;N;SG _ CONJ DEF;N;NEUT;SG ACT;FIN;IND;PRS;V ADV INDF;PST;SG;V;V.PTCP ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP PART ACT;NFIN;V DEF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG ADJ INDF;MASC+FEM;N;SG _
det er hans første arbejde i sølv .	det være hans første arbejde i sølv .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V 3;DET;PSSS ADJ INDF;N;NEUT;SG ADP INDF;N;NEUT;SG _
men han møder også pigen sjura , som bliver hans unge livs største kærlighed .	men han møde også pige sjura , som blive hans ung liv stor kærlighed .	CONJ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV DEF;MASC+FEM;N;SG PROPN _ ADP ACT;FIN;IND;PRS;V 3;DET;PSSS ADJ;DEF;SG GEN;INDF;N;NEUT;SG ADJ;DEF;RL INDF;MASC+FEM;N;SG _
men trods den tapre svend poulsens store ihærdighed er det ikke lykkedes at få tv-anmelderne til at overgive sig .	men trods den tapper svend poulsen stor ihærdighed være det ikke lykkes at få tv-anmelder til at overgive sig .	CONJ ADP DET;MASC+FEM;SG ADJ;DEF;SG PROPN GEN;PROPN ADJ;DEF;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ADV PST;V;V.PTCP PART ACT;NFIN;V DEF;MASC+FEM;N;PL ADP PART ACT;NFIN;V 3;ACC;PRO;REFL _
tallene fra 1972-82 er skønnet på baggrund af sheila jasanoff " technological innovation in a corporate state : the case of biotecnology in the federal republic of germany " , research policy 14 , 1985 , ss . 23-38 .	tal fra 1972-82 være skønne på baggrund af sheila jasanoff " technological innovation in a corporate state : the case of biotecnology in the federal republic of germany " , research policy 14 , 1985 , ss . 23-38 .	DEF;N;NEUT;PL ADP NUM ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADP INDF;MASC+FEM;N;SG ADP PROPN PROPN _ _ _ _ _ _ _ _ PROPN _ _ _ _ _ PROPN PROPN _ PROPN _ _ PROPN PROPN NUM _ NUM _ _ _ NUM _
målet er , at de foruden at kunne suge til sig af hans viden om kørsel og teknik , også kan profitere af hans erfaringer inden for det at skaffe sponsor-kroner og omtale , så interessen for fart og væddeløb også økonomisk kan løbe rundt .	mål være , at de foruden at kunne suge til sig af hans viden om kørsel og teknik , også kunne profitere af hans erfaring inden for det at skaffe sponsor-krone og omtale , så interesse for fart og væddeløb også økonomisk kunne løbe rundt .	DEF;N;NEUT;SG ACT;FIN;IND;PRS;V _ CONJ 3;NOM;PL;PRO ADP PART ACT;NFIN;V ACT;NFIN;V ADP 3;ACC;PRO;REFL ADP 3;DET;PSSS INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG CONJ INDF;MASC+FEM;N;SG _ ADV ACT;FIN;IND;PRS;V ACT;NFIN;V ADP 3;DET;PSSS INDF;MASC+FEM;N;PL ADV ADP 3;ACC;NEUT;PRO;SG PART ACT;NFIN;V INDF;MASC+FEM;N;PL CONJ INDF;MASC+FEM;N;SG _ CONJ DEF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG CONJ INDF;N;NEUT;SG ADV ADV ACT;FIN;IND;PRS;V ACT;NFIN;V ADV _
stilheden er nærmest larmende .	stilhed være nærmest larme .	DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV;RL PRS;V;V.PTCP _
med én røv kan man ikke sidde på to heste .	med en røv kunne man ikke sidde på to hest .	ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V MASC+FEM;NOM;PRO ADV ACT;NFIN;V ADP NUM INDF;MASC+FEM;N;PL _
måltidet starter med forskellige små forretter , og somme tider spiser man så meget af dem , at man dårligt kan kæmpe sig gennem hovedmåltidet .	måltid starte med forskellig lille forret , og somme tid spise man så meget af de , at man dårligt kunne kæmpe sig gennem hovedmåltid .	DEF;N;NEUT;SG ACT;FIN;IND;PRS;V ADP ADJ;PL ADJ;PL INDF;MASC+FEM;N;PL _ CONJ DET;PL INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V MASC+FEM;NOM;PRO ADV ADJ;INDF;SG ADP 3;ACC;PL;PRO _ CONJ MASC+FEM;NOM;PRO ADV ACT;FIN;IND;PRS;V ACT;NFIN;V 3;ACC;PRO;REFL ADP DEF;N;NEUT;SG _
" vi kan mødes derude klokken nitten .	" vi kunne mødes derude klokke nitten .	_ 1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V ACT;NFIN;V ADV DEF;MASC+FEM;N;SG NUM _
programmet er ikke snagende , alt er jo aftalt på forhånd , bl.a. at jeg ikke ville snakke om mit forhold til min ven ole , som jeg bor sammen med .	program være ikke snage , al være jo aftale på forhånd , blandt_andet at jeg ikke ville snakke om min forhold til min ven ole , som jeg bo sammen med .	DEF;N;NEUT;SG ACT;FIN;IND;PRS;V ADV PRS;V;V.PTCP _ ADJ;NEUT;SG ACT;FIN;IND;PRS;V ADV INDF;PST;SG;V;V.PTCP ADP INDF;MASC+FEM;N;SG _ ADV CONJ 1;MASC+FEM;NOM;PRO;SG ADV ACT;FIN;IND;PST;V ACT;NFIN;V ADP 1;DET;NEUT;PSSS;SG INDF;N;NEUT;SG ADP 1;DET;MASC+FEM;PSSS;SG INDF;MASC+FEM;N;SG PROPN _ ADP 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ADP _
der er meget mere af samme skuffe i bogen .	der være meget meget af samme skuffe i bog .	ADV ACT;FIN;IND;PRS;V ADV ADJ;CMPR;INDF;SG ADP ADJ INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG _
birte gik hen til døren .	birte gå hen til dør .	PROPN ACT;FIN;IND;PST;V ADV ADP DEF;MASC+FEM;N;SG _
hans uffe christensen	hans uffe christensen	PROPN PROPN PROPN
deres kroppe ligger i hvert fald langt fra 80'ernes bøfdrenge sylvester " rambo " stallone og arnold schwarzenegger .	deres krop ligge i hver fald langt fra 80'er bøfdreng sylvester " rambo " stallone og arnold schwarzenegger .	3;DET;PSSP INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADP DET;MASC+FEM;SG INDF;N;NEUT;SG ADV ADP DEF;GEN;MASC+FEM;N;PL INDF;MASC+FEM;N;PL PROPN _ PROPN _ PROPN CONJ PROPN PROPN _
- jeg træner et damehold i nakskov og har i sin tid været med til at starte spillet derinde , siger rené thauner , der nævner at gerner jørgensen også er træner i nakskov .	- jeg træne en damehold i nakskov og have i sin tid være med til at starte spil derinde , sige rené thauner , der nævne at gerner jørgensen også være træner i nakskov .	_ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V DET;NEUT;SG INDF;N;NEUT;SG ADP PROPN CONJ ACT;FIN;IND;PRS;V ADP 3;DET;MASC+FEM;PSSS;REFL;SG INDF;MASC+FEM;N;SG INDF;PST;SG;V;V.PTCP ADV ADP PART ACT;NFIN;V DEF;N;NEUT;SG ADV _ ACT;FIN;IND;PRS;V PROPN PROPN _ PRO ACT;FIN;IND;PRS;V CONJ PROPN PROPN ADV ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG ADP PROPN _
de klubber , der sælger ud af publikumsidolerne og ikke har nok at byde på i turneringskampene , får problemer .	den klub , der sælge ud af publikumsidol og ikke have nok at byde på i turneringskamp , få problem .	DET;PL INDF;MASC+FEM;N;PL _ PRO ACT;FIN;IND;PRS;V ADV ADP DEF;N;NEUT;PL CONJ ADV ACT;FIN;IND;PRS;V ADV PART ACT;NFIN;V ADP ADP DEF;MASC+FEM;N;PL _ ACT;FIN;IND;PRS;V INDF;N;NEUT;PL _
men det er også min helt personlige mening , at tv-spots er skadelige , " siger han .	men det være også min helt personlig mening , at tv-spot være skadelig , " sige han .	CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADV 1;DET;MASC+FEM;PSSS;SG ADV ADJ;DEF;SG INDF;MASC+FEM;N;SG _ CONJ INDF;N;NEUT;PL ACT;FIN;IND;PRS;V ADJ;PL _ _ ACT;FIN;IND;PRS;V 3;MASC+FEM;NOM;PRO;SG _
han kan også spille the good guy .	han kunne også spille the good guy .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ACT;NFIN;V _ _ _ _
efter fristens udløb trækker vi lod blandt alle indsendte løsninger , og de heldige vil få tilsendt deres gevinst i god tid inden juleaften .	efter frist udløb trække vi lod blandt al indsende løsning , og den heldig ville få tilsende deres gevinst i god tid inden juleaften .	ADP DEF;GEN;MASC+FEM;N;SG INDF;N;NEUT;SG ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PL;PRO INDF;N;NEUT;SG ADP ADJ;PL PL;PST;V;V.PTCP INDF;MASC+FEM;N;PL _ CONJ DET;PL ADJ;PL ACT;FIN;IND;PRS;V ACT;NFIN;V INDF;PST;SG;V;V.PTCP 3;DET;PSSP INDF;MASC+FEM;N;SG ADP ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG _
§ 102 .	§ 102 .	_ NUM _
al toggang til og fra næstved måtte indstilles i de tidlige morgentimer , og i alt 26 personer kom på hospitalet .	al toggang til og fra næstved måtte indstille i den tidlig morgentime , og i alt 26 person komme på hospital .	ADJ;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP CONJ ADP PROPN ACT;FIN;IND;PST;V NFIN;PASS;V ADP DET;PL ADJ;PL INDF;MASC+FEM;N;PL _ CONJ ADP INDF;MASC+FEM;N;SG NUM INDF;MASC+FEM;N;PL ACT;FIN;IND;PST;V ADP DEF;N;NEUT;SG _
medarb = ceg kilde = div.	medarb = ceg kilde = diverse	_ _ PROPN INDF;MASC+FEM;N;SG _ ADJ
i dag er hun ovenpå og arbejder frivilligt hos lænken som kontaktperson for andre alkoholikere .	i dag være hun ovenpå og arbejde frivilligt hos lænke som kontaktperson for anden alkoholiker .	ADP INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V 3;MASC+FEM;NOM;PRO;SG ADV CONJ ACT;FIN;IND;PRS;V ADV ADP DEF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG ADP DET;PL INDF;MASC+FEM;N;PL _
jeg regner selv med at læse til ingeniør - eller måske kemi - og tage en del af uddannelsen i et andet europæisk land .	jeg regne selv med at læse til ingeniør - eller måske kemi - og tage en del af uddannelse i en anden europæisk land .	1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V PRO ADP PART ACT;NFIN;V ADP INDF;MASC+FEM;N;SG _ CONJ ADV INDF;MASC+FEM;N;SG _ CONJ ACT;NFIN;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG ADP DET;NEUT;SG DET;NEUT;SG ADJ;INDF;SG INDF;N;NEUT;SG _
kalveleveren til 60 kr. pr. kg er dansk og slagteren foreslår den serveret stegt med dynger af bløde løg .	kalvelever til 60 krone per kilo være dansk og slagter foreslå den servere stege med dynge af blød løg .	DEF;MASC+FEM;N;SG ADP NUM INDF;MASC+FEM;N;PL ADP INDF;N;NEUT;SG ACT;FIN;IND;PRS;V ADJ;INDF;SG CONJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V 3;ACC;MASC+FEM;PRO;SG INDF;PST;SG;V;V.PTCP INDF;PST;SG;V;V.PTCP ADP INDF;MASC+FEM;N;PL ADP ADJ;PL INDF;N;NEUT;PL _
udspillet er for det første kommet meget sent .	udspil være for den første komme meget sent .	DEF;N;NEUT;SG ACT;FIN;IND;PRS;V ADP DET;NEUT;SG ADJ INDF;PST;SG;V;V.PTCP ADV ADV _
- det var sgu da et sært sted at mødes .	- det være sgu da en sær sted at mødes .	_ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V ADV ADV DET;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG PART ACT;NFIN;V _
efter afsløringen af giftaffaldet har nigeria tilbageholdt to skibe , foretaget adskillige anholdelser og truet med at henrette de skyldige .	efter afsløring af giftaffald have nigeria tilbageholde to skib , foretage adskillig anholdelse og true med at henrette den skyldig .	ADP DEF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG ACT;FIN;IND;PRS;V PROPN INDF;PST;SG;V;V.PTCP NUM INDF;N;NEUT;PL _ INDF;PST;SG;V;V.PTCP ADJ;PL INDF;MASC+FEM;N;PL CONJ INDF;PST;SG;V;V.PTCP ADP PART ACT;NFIN;V DET;PL ADJ;PL _
det er naturligvis ren tågesnak .	det være naturligvis ren tågesnak .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADV ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _
rør 125 g lunt , smeltet smør i .	røre 125 gram lun , smelte smør i .	IMP;V NUM INDF;N;NEUT;PL ADJ;INDF;NEUT;SG _ INDF;PST;SG;V;V.PTCP INDF;N;NEUT;SG ADV _
det er i de fleste tilfælde den lokale levnedsmiddelkontrol , der foretager indplaceringen , som der i øvrigt kan klages over .	det være i den mange tilfælde den lokal levnedsmiddelkontrol , der foretage indplacering , som der i øvrigt kunne klage over .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADP DET;PL ADJ;DEF;PL;RL INDF;N;NEUT;PL DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG _ PRO ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;SG _ ADP ADV ADP ADV ACT;FIN;IND;PRS;V NFIN;PASS;V ADP _
" hva ! " råbte de som med én mund , " arrangerer du ikke keglerne , når du er keglerejser ?	" hvad ! " råbe de som med en mund , " arrangere du ikke kegle , når du være keglerejser ?	_ PRO;SG _ _ ACT;FIN;IND;PST;V 3;NOM;PL;PRO ADP ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ _ ACT;FIN;IND;PRS;V 2;MASC+FEM;NOM;PRO;SG ADV DEF;MASC+FEM;N;PL _ CONJ 2;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG _
vender og drejer .	vende og dreje .	ACT;FIN;IND;PRS;V CONJ ACT;FIN;IND;PRS;V _
alle har stadig drømmen om at komme ud at opleve noget nyt og være sammen med fremmede mennesker , men mange er afventende , fordi de føler den økonomiske situation usikker .	al have stadig drøm om at komme ud at opleve nogen ny og være sammen med fremmed menneske , men mange være afvente , fordi de føle den økonomisk situation usikker .	ADJ;PL ACT;FIN;IND;PRS;V ADV DEF;MASC+FEM;N;SG ADP PART ACT;NFIN;V ADV PART ACT;NFIN;V DET;NEUT;SG ADJ;INDF;NEUT;SG CONJ ACT;NFIN;V ADV ADP ADJ;PL INDF;N;NEUT;PL _ CONJ ADJ;PL ACT;FIN;IND;PRS;V PRS;V;V.PTCP _ CONJ 3;NOM;PL;PRO ACT;FIN;IND;PRS;V DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG ADJ;INDF;MASC+FEM;SG _
når hjertet brister	når hjerte briste	CONJ DEF;N;NEUT;SG ACT;FIN;IND;PRS;V
- det er klart , siger sally .	- det være klar , sige sally .	_ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADJ;INDF;NEUT;SG _ ACT;FIN;IND;PRS;V PROPN _
" hvis jeg har gjort det , har jeg i hvert fald gjort det på den forkerte måde .	" hvis jeg have gøre det , have jeg i hver fald gøre det på den forkert måde .	_ CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP 3;ACC;NEUT;PRO;SG _ ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PRO;SG ADP DET;MASC+FEM;SG INDF;N;NEUT;SG INDF;PST;SG;V;V.PTCP 3;ACC;NEUT;PRO;SG ADP DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG _
dommeren leonid akubzhanov lagde stor vægt på , at massemorderen omhyggeligt og kynisk havde planlagt og udført sine grusomme forbrydelser - og bagefter udryddet afslørende bevis-materiale .	dommer leonid akubzhanov lægge stor vægt på , at massemorder omhyggeligt og kynisk have planlægge og udføre sin grusom forbrydelse - og bagefter udrydde afsløre bevis-materiale .	DEF;MASC+FEM;N;SG PROPN PROPN ACT;FIN;IND;PST;V ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP _ CONJ DEF;MASC+FEM;N;SG ADV CONJ ADV ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP CONJ INDF;PST;SG;V;V.PTCP 3;DET;PL;PSSS;REFL ADJ;PL INDF;MASC+FEM;N;PL _ CONJ ADV INDF;PST;SG;V;V.PTCP PRS;V;V.PTCP INDF;N;NEUT;SG _
tredje gang var ved folketingsvalget i 1943 med slagskygge til foråret 1945 i jalta , hvor vi kun med nød og næppe kom på listen over frie , demokratiske nationer .	tredje gang være ved folketingsvalg i 1943 med slagskygge til forår 1945 i jalta , hvor vi kun med nød og næppe komme på liste over fri , demokratisk nation .	ADJ INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V ADP DEF;N;NEUT;SG ADP NUM ADP INDF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG NUM ADP PROPN _ ADV 1;MASC+FEM;NOM;PL;PRO ADV ADP INDF;MASC+FEM;N;SG CONJ ADV ACT;FIN;IND;PST;V ADP DEF;MASC+FEM;N;SG ADP ADJ;PL _ ADJ;PL INDF;MASC+FEM;N;PL _
påstanden om , at en fodboldspiller ikke gi'r det sidste spark - det får han , er blevet bekræftet på smukt dbu-papir med logo .	påstand om , at en fodboldspiller ikke give den sidste spark - det få han , være blive bekræfte på smuk dbu-papir med logo .	DEF;MASC+FEM;N;SG ADP _ CONJ DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADV ACT;FIN;IND;PRS;V DET;NEUT;SG ADJ INDF;N;NEUT;SG _ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V 3;MASC+FEM;NOM;PRO;SG _ ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP INDF;PST;SG;V;V.PTCP ADP ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADP INDF;N;NEUT;SG _
træner i nakskov	træner i nakskov	INDF;MASC+FEM;N;SG ADP PROPN
i hvert fald kan mine ben næsten ikke bære mig ind i den store spisesal .	i hver fald kunne min ben næsten ikke bære jeg ind i den stor spisesal .	ADP DET;MASC+FEM;SG INDF;N;NEUT;SG ACT;FIN;IND;PRS;V 1;DET;PL;PSSS INDF;N;NEUT;PL ADV ADV ACT;NFIN;V 1;ACC;MASC+FEM;PRO;SG ADV ADP DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG _
men lad os slagte den hellige ko .	men lade vi slagte den hellig ko .	CONJ IMP;V 1;ACC;MASC+FEM;PL;PRO ACT;NFIN;V DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG _
det demokratiske ideal forudsætter , at vælgerne en bloc dirigerer historiens og udviklingens gang .	den demokratisk ideal forudsætte , at vælger en bloc dirigere historie og udvikling gang .	DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG ACT;FIN;IND;PRS;V _ CONJ DEF;MASC+FEM;N;PL _ _ ACT;FIN;IND;PRS;V DEF;GEN;MASC+FEM;N;SG CONJ DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;SG _
at fundere og tænke efter i en kompliceret tid og en indviklet verden er altid klogt .	at fundere og tænke efter i en kompliceret tid og en indviklet verden være altid klog .	PART ACT;NFIN;V CONJ ACT;NFIN;V ADV ADP DET;MASC+FEM;SG ADJ;INDF;SG INDF;MASC+FEM;N;SG CONJ DET;MASC+FEM;SG ADJ;INDF;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV ADJ;INDF;NEUT;SG _
robert har været trofast , når det gjaldt grafikken .	robert have være trofast , når det gælde grafik .	PROPN ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADJ;INDF;SG _ CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V DEF;MASC+FEM;N;SG _
- vagga , mumlede han .	- vagga , mumle han .	_ PROPN _ ACT;FIN;IND;PST;V 3;MASC+FEM;NOM;PRO;SG _
hun havde mærket et lille liv sparke i maven og kunne ikke andet .	hun have mærke en lille liv sparke i mave og kunne ikke anden .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP DET;NEUT;SG ADJ;SG INDF;N;NEUT;SG ACT;NFIN;V ADP DEF;MASC+FEM;N;SG CONJ ACT;FIN;IND;PST;V ADV NEUT;PRO;SG _
omkring halvdelen af tilfældene var selvmord .	omkring halvdel af tilfælde være selvmord .	ADP DEF;MASC+FEM;N;SG ADP DEF;N;NEUT;PL ACT;FIN;IND;PST;V INDF;N;NEUT;PL _
derfor tæller modelprogrammet foreløbig kun legacy .	derfor tælle modelprogram foreløbig kun legacy .	ADV ACT;FIN;IND;PRS;V DEF;N;NEUT;SG ADV ADV PROPN _
de mange japan-ting stammer fra nyligt afdøde poul holm olsen , der var samler , billedhugger og lektor ved kunstakademiet .	den mange japan-ting stamme fra nyligt afdød poul holm olsen , der være samler , billedhugger og lektor ved kunstakademi .	DET;PL ADJ;PL INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADP ADV ADJ;DEF;SG PROPN PROPN PROPN _ ADV ACT;FIN;IND;PST;V INDF;MASC+FEM;N;SG _ INDF;MASC+FEM;N;SG CONJ INDF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG _
den største stranding i nyere tid .	den stor stranding i ny tid .	DET;MASC+FEM;SG ADJ;DEF;RL INDF;MASC+FEM;N;SG ADP ADJ;CMPR INDF;MASC+FEM;N;SG _
