catherine of russia was also very satisfied .	catherine of russia be also very satisfied .	PROPN;SG ADP PROPN;SG 3;FIN;IND;PST;SG;V ADV ADV ADJ _
four in 10 adults have been injured due to bad weather while nine in 10 underestimate how chilly britain can get in the winter time .	four in 10 adult have be injure due to bad weather while nine in 10 underestimate how chilly britain can get in the winter time .	NUM ADP NUM N;PL FIN;IND;PRS;V PST;V;V.PTCP PST;V;V.PTCP ADP ADP ADJ N;SG CONJ NUM ADP NUM FIN;IND;PRS;V ADV ADJ PROPN;SG FIN;V NFIN;V ADP DEF;DET N;SG N;SG _
martin has yet to finish two of the remaining books in his acclaimed series , currently billed as " the winds of winter " and " a dream of spring . "	martin have yet to finish two of the remain book in he acclaimed series , currently bill as " the wind of winter " and " a dream of spring . "	PROPN;SG 3;FIN;IND;PRS;SG;V ADV PART NFIN;V NUM ADP DEF;DET V;V.MSDR N;PL ADP 3;MASC;PRO;SG ADJ N;SG _ ADV PST;V;V.PTCP ADP _ DEF;DET N;PL ADP N;SG _ CONJ _ DET;INDF N;SG ADP N;SG _ _
darius 's highly regarded commander megabazus was responsible to fulfill the conquers in the balkans .	darius 's highly regard commander megabazus be responsible to fulfill the conquer in the balkans .	PROPN;SG PART ADV PST;V;V.PTCP N;SG PROPN;SG 3;FIN;IND;PST;SG;V ADJ PART NFIN;V DEF;DET N;PL ADP DEF;DET PL;PROPN _
it has also opened vw up to huge compensation claims , legal action and has seen it take more than € 16bn of provisions .	it have also open vw up to huge compensation claim , legal action and have see it take more than € 16bn of provision .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP PROPN;SG ADP ADP ADJ N;SG N;PL _ ADJ N;SG CONJ 3;FIN;IND;PRS;SG;V PST;V;V.PTCP 3;ACC;NEUT;PRO;SG NFIN;V ADJ;CMPR ADP _ NUM ADP N;PL _
republicans captured the senate for the first time since 1952 , and gained 34 house seats , but the democrats retained a majority .	republican capture the senate for the first time since 1952 , and gain 34 house seat , but the democrat retain a majority .	PL;PROPN FIN;IND;PST;V DEF;DET PROPN;SG ADP DEF;DET ADJ N;SG ADP NUM _ CONJ FIN;IND;PST;V NUM PROPN;SG N;PL _ CONJ DEF;DET PL;PROPN FIN;IND;PST;V DET;INDF N;SG _
department of labor findings on the worst forms of child labor reported that 56 % of children aged 5 to 14 were working children and that almost 53 % of children aged 7 to 14 combined work and school .	department of labor finding on the worst form of child labor report that 56 % of child aged 5 to 14 be work child and that almost 53 % of child aged 7 to 14 combine work and school .	N;SG ADP N;SG PL;PROPN ADP DEF;DET ADJ;RL N;PL ADP PROPN;SG PROPN;SG FIN;IND;PST;V CONJ NUM SG ADP N;PL PST;V;V.PTCP NUM ADP NUM FIN;IND;PST;V V;V.MSDR N;PL CONJ CONJ ADV NUM SG ADP N;PL ADJ NUM ADP NUM PST;V;V.PTCP N;SG CONJ N;SG _
even if the majority of situations that arise in the workplace can be resolved without conflict .	even if the majority of situation that arise in the workplace can be resolve without conflict .	ADV CONJ DEF;DET N;SG ADP N;PL PRO FIN;IND;PRS;V ADP DEF;DET N;SG FIN;V NFIN;V PST;V;V.PTCP ADP N;SG _
the macedonian army advanced as far as the pass of thermopylae which divides greece in two parts , but it did not attempt to take it because it was strongly guarded by a joint force of athenians , spartans , and achaeans .	the macedonian army advance as far as the pass of thermopylae which divide greece in two part , but it do not attempt to take it because it be strongly guard by a joint force of athenians , spartans , and achaeans .	DEF;DET ADJ N;SG FIN;IND;PST;V ADV ADV ADP DEF;DET N;SG ADP PROPN;SG PRO 3;FIN;IND;PRS;SG;V PROPN;SG ADP NUM N;PL _ CONJ 3;NEUT;NOM;PRO;SG FIN;IND;PST;V NEG;PART NFIN;V PART NFIN;V 3;ACC;NEUT;PRO;SG CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADV PST;V;V.PTCP ADP DET;INDF ADJ N;SG ADP PL;PROPN _ PL;PROPN _ CONJ PROPN;SG _
the patterns presented by the data from the petén region and uaxactun allowed for these sites to fit within the cultural development of the maya lowlands .	the pattern present by the data from the petén region and uaxactun allow for these site to fit within the cultural development of the maya lowland .	DEF;DET N;PL PST;V;V.PTCP ADP DEF;DET N;SG ADP DEF;DET PROPN;SG N;SG CONJ PROPN;SG FIN;IND;PST;V CONJ DET;PL N;PL PART NFIN;V ADP DEF;DET ADJ N;SG ADP DEF;DET PROPN;SG N;PL _
north carolina is ground zero in this election .	north carolina be ground zero in this election .	PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V N;SG NUM ADP DET;SG N;SG _
dozens of fsln followers are already celebrating the victory in the plaza de las victorias .	dozen of fsln follower be already celebrate the victory in the plaza de las victorias .	N;PL ADP PROPN;SG N;PL FIN;IND;PRS;V ADV PRS;V;V.PTCP DEF;DET N;SG ADP DEF;DET PROPN;SG PROPN;SG PROPN;SG PROPN;SG _
“ i do n’t know what g.d.p. growth was during the washington and lincoln administrations , but the institutional developments in those terms had large and long - lasting effects . ”	“ i do n’t know what g.d.p. growth be during the washington and lincoln administration , but the institutional development in those term have large and long - lasting effect . ”	_ 1;NOM;PRO;SG FIN;IND;PRS;V ADV;NEG NFIN;V PRO N;SG N;SG 3;FIN;IND;PST;SG;V ADP DEF;DET PROPN;SG CONJ PROPN;SG N;PL _ CONJ DEF;DET ADJ N;PL ADP DET;PL N;PL FIN;IND;PST;V ADJ CONJ ADJ _ V;V.MSDR N;PL _ _
prior to taking office jokowi sought for outgoing president yudhoyono to take responsibility for the decision to further increase fuel prices by further removing subsidies .	prior to take office jokowi seek for outgoing president yudhoyono to take responsibility for the decision to further increase fuel price by further remove subsidy .	CONJ CONJ V;V.MSDR N;SG PROPN;SG FIN;IND;PST;V ADP ADJ PROPN;SG PROPN;SG PART NFIN;V N;SG ADP DEF;DET N;SG PART ADV NFIN;V N;SG N;PL CONJ ADV V;V.MSDR N;PL _
since emperor meiji , it has been customary to have one era per emperor and to rename each emperor after his death using the name of the era over which he presided .	since emperor meiji , it have be customary to have one era per emperor and to rename each emperor after he death use the name of the era over which he preside .	ADP N;SG PROPN;SG _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADJ PART NFIN;V NUM N;SG ADP PROPN;SG CONJ PART NFIN;V DET N;SG ADP 3;MASC;PRO;SG N;SG V;V.MSDR DEF;DET N;SG ADP DEF;DET N;SG ADP PRO 3;MASC;NOM;PRO;SG FIN;IND;PST;V _
i love to play with that and i am always looking for muses that fit that bill because it is so interesting making a collection when i find one .	i love to play with that and i be always look for muse that fit that bill because it be so interesting make a collection when i find one .	1;NOM;PRO;SG FIN;IND;PRS;V PART NFIN;V ADP PRO;SG CONJ 1;NOM;PRO;SG 1;FIN;IND;PRS;SG;V ADV PRS;V;V.PTCP ADP N;PL PRO FIN;IND;PRS;V DET;SG N;SG CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADV ADJ V;V.MSDR DET;INDF N;SG ADV 1;NOM;PRO;SG FIN;IND;PRS;V NUM _
the australian experts drew new conclusions from the investigation of a landing flap from boeing that had washed up in tanzania in east africa .	the australian expert draw new conclusion from the investigation of a landing flap from boeing that have wash up in tanzania in east africa .	DEF;DET ADJ N;PL FIN;IND;PST;V ADJ N;PL ADP DEF;DET N;SG ADP DET;INDF N;SG N;SG ADP PROPN;SG PRO FIN;IND;PST;V PST;V;V.PTCP ADP ADP PROPN;SG ADP ADJ PROPN;SG _
napoleon was confident that the clear success of austerlitz could lead to a general peace treaty , but his hopes were soon dashed : the new british prime minister lord grenville refused any agreement , and so did tsar alexander .	napoleon be confident that the clear success of austerlitz could lead to a general peace treaty , but he hope be soon dash : the new british prime minister lord grenville refuse any agreement , and so do tsar alexander .	PROPN;SG 3;FIN;IND;PST;SG;V ADJ CONJ DEF;DET ADJ N;SG ADP PROPN;SG FIN;V NFIN;V ADP DET;INDF ADJ N;SG N;SG _ CONJ 3;MASC;PRO;SG N;PL FIN;IND;PST;V ADV PST;V;V.PTCP _ DEF;DET ADJ ADJ PROPN;SG PROPN;SG PROPN;SG PROPN;SG FIN;IND;PST;V DET N;SG _ CONJ ADV FIN;IND;PST;V PROPN;SG PROPN;SG _
on one occasion , it is implied he is an undercover agent whose target is homer .	on one occasion , it be imply he be a undercover agent whose target be homer .	ADP NUM N;SG _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V FIN;IND;PST;V 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG PRO N;SG 3;FIN;IND;PRS;SG;V PROPN;SG _
granite islands include seychelles and tioman and volcanic islands such as saint helena .	granite island include seychelles and tioman and volcanic island such as saint helena .	N;SG N;PL FIN;IND;PRS;V PROPN;SG CONJ PROPN;SG CONJ ADJ N;PL ADJ ADP PROPN;SG PROPN;SG _
the judge in duffy 's fraud and breach of trust trial ultimately ruled they were within the senate 's rules when he cleared duffy of all charges .	the judge in duffy 's fraud and breach of trust trial ultimately rule they be within the senate 's rule when he clear duffy of all charge .	DEF;DET N;SG ADP PROPN;SG PART N;SG CONJ N;SG ADP N;SG N;SG ADV FIN;IND;PST;V 3;NOM;PL;PRO FIN;IND;PST;V ADP DEF;DET N;SG PART N;PL ADV 3;MASC;NOM;PRO;SG FIN;IND;PST;V PROPN;SG ADP DET N;PL _
it differs from the western portion of the country in that its prominent topographic features do not parallel the coast .	it differ from the western portion of the country in that its prominent topographic feature do not parallel the coast .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADP DEF;DET ADJ N;SG ADP DEF;DET N;SG CONJ CONJ 3;NEUT;PRO;SG ADJ ADJ N;PL FIN;IND;PRS;V ADV;NEG NFIN;V DEF;DET N;SG _
it contains a tiny lagoon , which has all but dried up .	it contain a tiny lagoon , which have all but dry up .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG _ PRO 3;FIN;IND;PRS;SG;V ADV ADV PST;V;V.PTCP ADP _
he seems to have wished for the senate and the state to simply act without him and his direct orders were rather vague , inspiring debate more on what he actually meant than on passing his legislation .	he seem to have wish for the senate and the state to simply act without he and he direct order be rather vague , inspire debate more on what he actually mean than on pass he legislation .	3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PART NFIN;V PST;V;V.PTCP CONJ DEF;DET PROPN;SG CONJ DEF;DET N;SG PART ADV NFIN;V ADP 3;ACC;MASC;PRO;SG CONJ 3;MASC;PRO;SG ADJ N;PL FIN;IND;PST;V ADV ADJ _ V;V.MSDR N;SG ADJ;CMPR ADP PRO 3;MASC;NOM;PRO;SG ADV FIN;IND;PST;V CONJ CONJ V;V.MSDR 3;MASC;PRO;SG N;SG _
the world may be enraging and absurd – yet at least someone has the self - respect to keep protesting against that fact .	the world may be enraging and absurd – yet at least someone have the self - respect to keep protest against that fact .	DEF;DET N;SG FIN;V NFIN;V ADJ CONJ ADJ _ CONJ ADV ADV;RL N;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG _ N;SG PART NFIN;V V;V.MSDR ADP DET;SG N;SG _
when millican died , we assumed that was the last we ’d see of glitchy , twitchy odi too .	when millican die , we assume that be the last we ’d see of glitchy , twitchy odi too .	ADV PROPN;SG FIN;IND;PST;V _ 1;NOM;PL;PRO FIN;IND;PST;V PRO;SG 3;FIN;IND;PST;SG;V DEF;DET ADJ 1;NOM;PL;PRO FIN;V NFIN;V ADP ADJ _ ADJ PROPN;SG ADV _
however , his rival prabowo subianto also declared victory , leaving indonesian citizens confused .	however , he rival prabowo subianto also declare victory , leave indonesian citizen confused .	ADV _ 3;MASC;PRO;SG N;SG PROPN;SG PROPN;SG ADV FIN;IND;PST;V N;SG _ V;V.MSDR ADJ N;PL ADJ _
a significantly higher cost which clearly exceeds the average of the countries that adopt the single currency , which is equal to 1,365 euros per litre .	a significantly higher cost which clearly exceed the average of the country that adopt the single currency , which be equal to 1,365 euro per litre .	DET;INDF ADV ADJ;CMPR N;SG PRO ADV 3;FIN;IND;PRS;SG;V DEF;DET N;SG ADP DEF;DET N;PL PRO FIN;IND;PRS;V DEF;DET ADJ N;SG _ PRO 3;FIN;IND;PRS;SG;V ADJ ADP NUM N;PL ADP N;SG _
" there should be no preferential access to government , or appearance of preferential access , accorded to individuals or organizations because they have made financial contributions to politicians and political parties , " the guidelines read .	" there should be no preferential access to government , or appearance of preferential access , accord to individual or organization because they have make financial contribution to politician and political party , " the guideline read .	_ PRO FIN;V NFIN;V DET;NEG ADJ N;SG ADP N;SG _ CONJ N;SG ADP ADJ N;SG _ PST;V;V.PTCP ADP N;PL CONJ N;PL CONJ 3;NOM;PL;PRO FIN;IND;PRS;V PST;V;V.PTCP ADJ N;PL ADP N;PL CONJ ADJ N;PL _ _ DEF;DET N;PL FIN;IND;PST;V _
it is the most common tumour found in babies , occurring in one of every 35,000 births .	it be the most common tumour find in baby , occur in one of every 35,000 birth .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DEF;DET ADV ADJ N;SG PST;V;V.PTCP ADP N;PL _ V;V.MSDR ADP NUM ADP DET NUM N;PL _
the viguier and la conte districts contain the majority of the city 's social housing , where the population is mainly made up of immigrants or those of immigrant origin .	the viguier and la conte district contain the majority of the city 's social housing , where the population be mainly make up of immigrant or those of immigrant origin .	DEF;DET PROPN;SG CONJ PROPN;SG PROPN;SG N;PL FIN;IND;PRS;V DEF;DET N;SG ADP DEF;DET N;SG PART ADJ N;SG _ ADV DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP ADP ADP N;PL CONJ DET;PL ADP ADJ N;SG _
shen kuo soon impressed wang anshi with his skills and abilities as an administrator and government agent .	shen kuo soon impress wang anshi with he skill and ability as a administrator and government agent .	PROPN;SG PROPN;SG ADV FIN;IND;PST;V PROPN;SG PROPN;SG ADP 3;MASC;PRO;SG N;PL CONJ N;PL ADP DET;INDF N;SG CONJ N;SG N;SG _
in 1566 , a league of about 400 members of the nobility presented a petition to the governor margaret of parma , to suspend persecution until the rest had returned .	in 1566 , a league of about 400 member of the nobility present a petition to the governor margaret of parma , to suspend persecution until the rest have return .	ADP NUM _ DET;INDF N;SG ADP ADV NUM N;PL ADP DEF;DET N;SG FIN;IND;PST;V DET;INDF N;SG ADP DEF;DET N;SG PROPN;SG ADP PROPN;SG _ PART NFIN;V N;SG CONJ DEF;DET N;SG FIN;IND;PST;V PST;V;V.PTCP _
the danevirke has remained in german possession ever since .	the danevirke have remain in german possession ever since .	DEF;DET PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP ADJ N;SG ADV ADV _
“ complete neglect of his own health , ” his wife , alice , reported .	“ complete neglect of he own health , ” he wife , alice , report .	_ ADJ N;SG ADP 3;MASC;PRO;SG ADJ N;SG _ _ 3;MASC;PRO;SG N;SG _ PROPN;SG _ FIN;IND;PST;V _
bloch is concerned to establish hope as the guiding principle of his marxism and stresses the implied humanism inherent in mystical tradition .	bloch be concern to establish hope as the guide principle of he marxism and stress the imply humanism inherent in mystical tradition .	PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PART NFIN;V N;SG ADP DEF;DET V;V.MSDR N;SG ADP 3;MASC;PRO;SG PROPN;SG CONJ 3;FIN;IND;PRS;SG;V DEF;DET PST;V;V.PTCP N;SG ADJ ADP ADJ N;SG _
" norman is one of my good buddies , so it totally sucked to see him in that emotional state . "	" norman be one of my good buddy , so it totally suck to see he in that emotional state . "	_ PROPN;SG 3;FIN;IND;PRS;SG;V NUM ADP 1;PRO;SG ADJ N;PL _ ADV 3;NEUT;NOM;PRO;SG ADV FIN;IND;PST;V PART NFIN;V 3;ACC;MASC;PRO;SG ADP DET;SG ADJ N;SG _ _
the new iron guidelines mean more donors are needed .	the new iron guideline mean more donor be need .	DEF;DET ADJ N;SG N;PL FIN;IND;PRS;V ADJ;CMPR N;PL FIN;IND;PRS;V PST;V;V.PTCP _
" if somebody ca n't handle a twitter account , they ca n't handle the nuclear codes , " obama mocked .	" if somebody can not handle a twitter account , they can not handle the nuclear code , " obama mock .	_ CONJ N;SG FIN;V NEG;PART NFIN;V DET;INDF PROPN;SG N;SG _ 3;NOM;PL;PRO FIN;V NEG;PART NFIN;V DEF;DET ADJ N;PL _ _ PROPN;SG FIN;IND;PST;V _
in june to august 2010 famine struck the sahel .	in june to august 2010 famine strike the sahel .	ADP PROPN;SG ADP PROPN;SG NUM N;SG FIN;IND;PST;V DEF;DET PROPN;SG _
wilkes was re-elected and expelled twice more , before the house of commons resolved that his candidature was invalid and declared the runner - up as the victor .	wilkes be re-elect and expel twice more , before the house of common resolve that he candidature be invalid and declare the runner - up as the victor .	PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP CONJ PST;V;V.PTCP ADV ADV _ CONJ DEF;DET PROPN;SG ADP PL;PROPN FIN;IND;PST;V CONJ 3;MASC;PRO;SG N;SG 3;FIN;IND;PST;SG;V ADJ CONJ FIN;IND;PST;V DEF;DET N;SG _ N;SG ADP DEF;DET N;SG _
tradition has it that the theme was selected intentionally because of the great number of converted jews who lived in palma .	tradition have it that the theme be select intentionally because of the great number of converted jews who live in palma .	N;SG 3;FIN;IND;PRS;SG;V 3;NEUT;NOM;PRO;SG CONJ DEF;DET N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADV ADP ADP DEF;DET ADJ N;SG ADP ADJ PL;PROPN PRO FIN;IND;PST;V ADP PROPN;SG _
where does all her energy come from ? or that voice , which can blast out with a force to induce shockwaves ?	where do all she energy come from ? or that voice , which can blast out with a force to induce shockwave ?	ADV 3;FIN;IND;PRS;SG;V DET 3;FEM;PRO;SG N;SG NFIN;V ADP _ CONJ DET;SG N;SG _ PRO FIN;V NFIN;V ADP ADP DET;INDF N;SG PART NFIN;V N;PL _
there are different theories about the reasons for leaving the place .	there be different theory about the reason for leave the place .	PRO FIN;IND;PRS;V ADJ N;PL ADP DEF;DET N;PL CONJ V;V.MSDR DEF;DET N;SG _
1987 was proclaimed the " year of the river " by the lord mayor of brisbane at the time , sallyanne atkinson .	1987 be proclaim the " year of the river " by the lord mayor of brisbane at the time , sallyanne atkinson .	NUM 3;FIN;IND;PST;SG;V PST;V;V.PTCP DEF;DET _ N;SG ADP DEF;DET N;SG _ ADP DEF;DET N;SG N;SG ADP PROPN;SG ADP DEF;DET N;SG _ PROPN;SG PROPN;SG _
